albumID,name,release,art,genre,artist
80,Man in the Mirror,Mon Oct 28 2019 19:40:03,https://loremflickr.com/800/800?lock=66678,Outlaw Country,Dorothy O'Connell
81,Swanee,Wed Aug 25 2021 15:43:04,https://loremflickr.com/800/800?lock=53145,Doom,Juanita Tillman
82,So Much in Love,Wed Mar 18 2015 10:45:05,https://loremflickr.com/800/800?lock=18425,Tejano,Dwight Lueilwitz
83,Because You Loved Me,Mon Nov 29 2021 10:01:23,https://loremflickr.com/800/800?lock=52718,American,Sara Becker
84,Creep,Thu Jun 18 2020 02:20:01,https://loremflickr.com/800/800?lock=18442,Hip Hop,Salvatore Kuvalis
85,Gypsies,Thu May 12 2016 06:30:23,https://loremflickr.com/800/800?lock=89512,Jungle,Alexandra Bogisich
86,I Can't Stop Loving You,Sun Oct 04 2020 20:39:45,https://loremflickr.com/800/800?lock=19473,English,Shane Ankunding
87,After You've Gone,Sun Feb 07 2016 19:54:03,https://loremflickr.com/800/800?lock=55777,Boom Bap,Irving Weber
88,People Got to Be Free,Sun May 25 2014 01:41:57,https://loremflickr.com/800/800?lock=83640,Electro,Miss Wilson Barrows
89,The Girl From Ipanema,Thu May 23 2019 10:23:05,https://loremflickr.com/800/800?lock=74208,Dub,Mrs. Glenda Paucek
90,Everybody Loves Somebody,Fri Mar 04 2016 05:45:17,https://loremflickr.com/800/800?lock=14570,Delta Blues,Kristi Tremblay
91,If (They Made Me a King),Tue Jul 21 2015 23:06:26,https://loremflickr.com/800/800?lock=88729,Irish,Ms. Kelley Botsford II
92,Volare,Sun Nov 01 2015 19:15:41,https://loremflickr.com/800/800?lock=86899,Funk,Dr. Emmett Schneider
93,My Life,Thu Sep 30 2021 05:48:45,https://loremflickr.com/800/800?lock=80607,Death,Spencer Murray
94,When a Man Loves a Woman,Wed Oct 07 2020 12:34:52,https://loremflickr.com/800/800?lock=9599,Black,Jerry Conroy
95,Gangsta's Paradise,Thu Jul 07 2016 17:29:15,https://loremflickr.com/800/800?lock=33945,Latin,Adrian Rau
96,Dancing Queen,Sun Jul 10 2016 08:07:15,https://loremflickr.com/800/800?lock=11337,Rock,Ryan Kunze
97,My Eyes Adored You,Thu Jul 20 2017 17:06:18,https://loremflickr.com/800/800?lock=61214,Dancehall,Glenn Howe
98,Paper Doll,Thu Dec 18 2014 15:59:48,https://loremflickr.com/800/800?lock=4302,Brazilian,Arthur Kutch
99,Time After Time,Tue Feb 23 2021 17:29:29,https://loremflickr.com/800/800?lock=45660,Southern Rock,Lamar Senger
100,(It's No) Sin,Mon Oct 22 2018 21:49:05,https://loremflickr.com/800/800?lock=52892,Japanese,Carol Mante
101,Don't Go Breaking My Heart,Mon Apr 18 2016 08:15:36,https://loremflickr.com/800/800?lock=77270,Folk,Gustavo Lebsack
102,Endless Love,Sat Apr 27 2019 05:20:06,https://loremflickr.com/800/800?lock=21332,Hip Hop,Frederick Heller
103,End of the Road,Fri Oct 22 2021 11:03:38,https://loremflickr.com/800/800?lock=80491,Cumbia,Spencer Beer
104,A String of Pearls,Tue Mar 25 2014 03:48:41,https://loremflickr.com/800/800?lock=59104,Merengue,Tracy Williamson
105,The Joker,Tue Oct 01 2013 08:06:23,https://loremflickr.com/800/800?lock=95094,Ska,Gordon Kuhic
106,Take On Me,Sat Dec 14 2013 19:43:05,https://loremflickr.com/800/800?lock=20362,Footwork,Mrs. Dustin Nolan
107,Save the Last Dance For Me,Tue Feb 21 2017 15:54:34,https://loremflickr.com/800/800?lock=62272,Funk,Horace Kunde
108,Born to Run,Sun Jun 08 2014 14:45:26,https://loremflickr.com/800/800?lock=5654,Country-Rock,Mrs. Lowell Casper I
109,Be My Baby,Sun Jan 17 2021 17:29:27,https://loremflickr.com/800/800?lock=73081,Rock,Katherine Roberts
110,One O'Clock Jump,Fri May 15 2020 09:44:35,https://loremflickr.com/800/800?lock=99112,Salsa,Dan Hahn
111,Love Hangover,Wed Jan 25 2017 06:56:05,https://loremflickr.com/800/800?lock=81758,Soul,Mack Emard
112,I'll Make Love to You,Wed Aug 06 2014 07:51:10,https://loremflickr.com/800/800?lock=80885,Merengue,Leland Ferry
113,Till I Waltz Again With You,Fri Aug 21 2020 13:48:55,https://loremflickr.com/800/800?lock=69033,Boom Bap,Bob Rolfson II
114,Sugar Shack,Thu Nov 16 2017 15:03:56,https://loremflickr.com/800/800?lock=69331,Country-Rock,Max Crooks
115,Change the World,Thu Oct 13 2016 22:50:20,https://loremflickr.com/800/800?lock=44340,Delta Blues,Dixie Stehr
116,Tears of a Clown,Fri Sep 09 2022 22:07:37,https://loremflickr.com/800/800?lock=74230,Drum and Bass,Miss Kimberly Franecki
117,A Thousand Miles,Wed Mar 31 2021 11:44:39,https://loremflickr.com/800/800?lock=16936,Flamenco,Carrie Bergnaum
118,Lola,Sun Mar 15 2020 22:59:23,https://loremflickr.com/800/800?lock=76348,Doom,Adrian Fahey III
119,Paper Doll,Sun Dec 15 2019 22:40:18,https://loremflickr.com/800/800?lock=47377,Rocksteady,Kristopher West
120,Battle of New Orleans,Tue Mar 09 2021 08:16:33,https://loremflickr.com/800/800?lock=36997,Scottish,Ana Fay
121,Crazy,Fri Oct 18 2019 11:40:59,https://loremflickr.com/800/800?lock=94225,Arabic,Donnie Stokes
122,Ray of Light,Fri Dec 11 2015 19:53:37,https://loremflickr.com/800/800?lock=44386,Doom,Isaac West
123,Kiss,Tue Apr 16 2019 06:25:36,https://loremflickr.com/800/800?lock=10098,Country,Lena Jacobs
124,Miss You,Sat Jun 29 2013 19:33:05,https://loremflickr.com/800/800?lock=51435,Progressive,Alfredo Schuppe
125,Cherish,Thu Jul 09 2015 17:44:06,https://loremflickr.com/800/800?lock=80444,Reggae,Isabel Bartell
126,Fantasy,Mon Jul 29 2013 00:48:37,https://loremflickr.com/800/800?lock=28211,Classical,Ethel Watsica
127,Lights,Tue Mar 19 2013 04:10:34,https://loremflickr.com/800/800?lock=74339,Tejano,Kerry Rippin
128,We Are the Champions,Thu Nov 04 2021 07:57:30,https://loremflickr.com/800/800?lock=85164,Delta Blues,Andrea Gleichner
129,Battle of New Orleans,Sun Jan 01 2017 23:02:16,https://loremflickr.com/800/800?lock=6413,Alternative,Lori Fahey
130,Because of You,Sun Aug 31 2014 11:56:24,https://loremflickr.com/800/800?lock=89714,Latin,Lorena Kovacek
131,Mr Brightside,Tue Feb 07 2017 16:00:18,https://loremflickr.com/800/800?lock=45150,Symphonic,Wesley Denesik
132,Joy to the World,Mon Mar 06 2017 03:38:46,https://loremflickr.com/800/800?lock=53736,Folk,Ross Russel PhD
133,I Got You Babe,Fri Jul 02 2021 20:33:01,https://loremflickr.com/800/800?lock=84390,Electro,Mr. Al Hickle III
134,Hanky Panky,Sat Oct 19 2013 06:39:32,https://loremflickr.com/800/800?lock=73745,Dubstep,Dr. Jean Bernier
135,Sweet Home Alabama,Sat Mar 10 2018 12:50:56,https://loremflickr.com/800/800?lock=54580,English,Marlon Kihn
136,Thank You (Falettinme be Mice Elf Again),Wed Sep 05 2018 00:14:09,https://loremflickr.com/800/800?lock=71843,Drum and Bass,Andy Monahan
137,Come On Eileen,Sun Nov 03 2013 05:14:57,https://loremflickr.com/800/800?lock=69127,Arabic,Candice Johnston
138,Love to Love You Baby,Tue Aug 27 2019 17:41:55,https://loremflickr.com/800/800?lock=69671,Metal,Mr. Janice Fay
139,Everybody Wants to Rule the World,Mon Jun 24 2013 10:28:26,https://loremflickr.com/800/800?lock=28316,Chinese,Catherine Olson
140,La Bamba,Thu Sep 25 2014 22:09:46,https://loremflickr.com/800/800?lock=33410,Dubstep,Robert Little
141,Roll With It,Fri Jul 24 2020 04:40:59,https://loremflickr.com/800/800?lock=94554,Indie,Jimmie Luettgen II
142,If You Leave Me Now,Sun Oct 02 2022 10:37:05,https://loremflickr.com/800/800?lock=44852,Zydeco,Luke Durgan
143,Crimson & Clover,Sat Sep 02 2017 13:04:39,https://loremflickr.com/800/800?lock=44513,Chicago Blues,Darren Haley
144,I'm So Lonesome I Could Cry,Wed Apr 15 2020 02:36:19,https://loremflickr.com/800/800?lock=96405,Tex-Mex,Wilbur Jaskolski
145,Say You,Fri Aug 09 2013 11:05:56,https://loremflickr.com/800/800?lock=56704,Outlaw Country,Eric Ondricka
146,Daydream Believer,Mon Sep 02 2013 16:47:19,https://loremflickr.com/800/800?lock=40616,Blues,Miss Amy Schuppe
147,Rudolph,Wed Jul 11 2018 11:25:22,https://loremflickr.com/800/800?lock=16995,Gospel,Patrick Schulist
148,Light My Fire,Fri Aug 07 2020 17:48:59,https://loremflickr.com/800/800?lock=98673,Dubstep,Sandra Leannon
149,White Rabbit,Thu Jun 20 2013 18:42:39,https://loremflickr.com/800/800?lock=11374,Rocksteady,Lee Rodriguez
150,Stagger Lee,Fri Nov 19 2021 07:39:15,https://loremflickr.com/800/800?lock=65660,Indian,Mr. Laurence Reichel
151,Give Me Everything,Tue Mar 26 2019 09:40:36,https://loremflickr.com/800/800?lock=88388,Scottish,Georgia Kerluke
152,I Want You Back,Fri Jan 10 2020 09:18:25,https://loremflickr.com/800/800?lock=46617,Tejano,Lynda Yost
153,Drop it Like It's Hot,Sat Aug 08 2020 19:24:38,https://loremflickr.com/800/800?lock=53808,Zydeco,Leslie Feest
154,Wild Wild West,Wed Dec 16 2020 02:03:40,https://loremflickr.com/800/800?lock=16413,Dub,Ruben Wuckert
155,Unchained Melody,Mon Jun 12 2017 05:36:11,https://loremflickr.com/800/800?lock=83239,Gangsta,Marta King
156,You Light Up My Life,Tue Feb 23 2021 08:32:49,https://loremflickr.com/800/800?lock=22147,Salsa,Vanessa Murray
157,Funkytown,Fri Mar 04 2022 12:23:30,https://loremflickr.com/800/800?lock=80197,Korean,Thomas Balistreri
158,I Can't Get Next to You,Wed Mar 21 2018 17:16:10,https://loremflickr.com/800/800?lock=734,Electro,Marie Lehner
159,Your Song,Tue May 14 2019 23:06:55,https://loremflickr.com/800/800?lock=2722,Indian,Eric Schmidt
160,My Heart Will Go On,Sat Sep 17 2022 11:51:53,https://loremflickr.com/800/800?lock=94539,Hip Hop,Roderick Buckridge
161,Kung Fu Fighting,Mon Nov 14 2016 20:37:00,https://loremflickr.com/800/800?lock=76940,Breakbeat,Mrs. Jana Lang
162,Good Lovin',Fri Apr 16 2021 23:23:48,https://loremflickr.com/800/800?lock=19805,Classical,Lauren Legros
163,Kung Fu Fighting,Thu Jan 28 2021 00:46:32,https://loremflickr.com/800/800?lock=19096,R&B,Ervin Erdman Sr.
164,Take a Bow,Tue Aug 11 2020 02:51:18,https://loremflickr.com/800/800?lock=70015,Dancehall,Fernando Konopelski
165,Sailing,Wed Feb 07 2018 06:34:14,https://loremflickr.com/800/800?lock=80831,Greek,Brian Wolf
166,Against All Odds (Take a Look At Me Now),Fri Oct 28 2016 09:28:48,https://loremflickr.com/800/800?lock=29495,Breakbeat,Gayle Lockman I
167,Big Girls Don't Cry,Sun Apr 19 2015 20:34:03,https://loremflickr.com/800/800?lock=86433,Drum and Bass,Miss Melinda Jacobson
168,Dancing in the Dark,Mon Apr 08 2013 00:59:48,https://loremflickr.com/800/800?lock=44558,Techno,Latoya Cormier III
169,Whoomp! (There it Is),Thu Apr 06 2017 01:48:33,https://loremflickr.com/800/800?lock=78422,Juke,Bradford Roob
170,Nature Boy,Fri Feb 15 2013 14:18:52,https://loremflickr.com/800/800?lock=36031,Merengue,Natasha Bechtelar
171,All You Need is Love,Fri Apr 05 2019 04:47:48,https://loremflickr.com/800/800?lock=88546,Hip Hop,Della Harvey
172,This Used to Be My Playground,Sun Dec 20 2020 03:59:44,https://loremflickr.com/800/800?lock=71747,Reggae,Luis Swift
173,Sunshine Superman,Wed Feb 19 2014 20:20:09,https://loremflickr.com/800/800?lock=97984,Breakbeat,Donald Breitenberg
174,The Boy is Mine,Wed May 26 2021 16:33:47,https://loremflickr.com/800/800?lock=84147,Reggae,Kyle Feeney
175,The Gypsy,Fri Dec 17 2021 02:12:32,https://loremflickr.com/800/800?lock=94490,Reggaeton,Mrs. Johanna Herzog
176,Groovin',Thu Sep 05 2019 14:57:29,https://loremflickr.com/800/800?lock=8207,Symphonic,Nellie Haley
177,Goodnight,Wed Nov 20 2013 18:34:58,https://loremflickr.com/800/800?lock=19128,Scottish,Joshua Bradtke
178,Tha Crossroads,Sat Sep 10 2016 00:16:31,https://loremflickr.com/800/800?lock=53871,Drum and Bass,Jimmy Dietrich
179,Can't Get Enough of Your Love,Fri Aug 21 2015 21:18:26,https://loremflickr.com/800/800?lock=23044,Metal,Mrs. Sally Nikolaus
180,Ain't That a Shame,Sun Aug 11 2019 07:29:29,https://loremflickr.com/800/800?lock=38322,Disco,Miss Maryann Carroll
181,Under the Bridge,Mon Jul 03 2017 13:35:53,https://loremflickr.com/800/800?lock=84367,Techno,Terrell Heathcote
182,Take My Breath Away,Thu Oct 15 2015 00:13:54,https://loremflickr.com/800/800?lock=2670,Alternative,Mr. Gerard Bins
183,Doo Wop (That Thing),Mon Apr 29 2019 07:03:19,https://loremflickr.com/800/800?lock=72606,R&B,Robin Boehm III
184,96 Tears,Tue Apr 12 2022 03:00:11,https://loremflickr.com/800/800?lock=83496,Indian,Brandi Yost
185,I Will Survive,Wed Dec 24 2014 16:52:34,https://loremflickr.com/800/800?lock=62485,Electro,Laverne Hammes
186,Baker Street,Wed Apr 15 2020 19:39:33,https://loremflickr.com/800/800?lock=84881,Latin,Elaine Rempel
187,Uncle Albert (Admiral Halsey),Wed Sep 17 2014 04:26:35,https://loremflickr.com/800/800?lock=8144,Salsa,Earl Harvey
188,Private Eyes,Tue Sep 20 2022 09:38:00,https://loremflickr.com/800/800?lock=57800,Classical,Roman Goldner
189,Bad Romance,Sat Dec 25 2021 18:03:49,https://loremflickr.com/800/800?lock=72191,Hip Hop,Roberto Ledner
190,It's My Party,Fri Aug 12 2022 16:39:45,https://loremflickr.com/800/800?lock=24501,Chicago Blues,Kristopher Purdy
191,Sleep Walk,Tue Mar 01 2016 10:22:33,https://loremflickr.com/800/800?lock=68775,New Orleans Jazz,Chester Heller
192,Please Mr Postman,Mon Sep 05 2022 19:00:42,https://loremflickr.com/800/800?lock=90716,Japanese,Pearl Reilly IV
193,Locked Out Of Heaven,Thu Aug 25 2022 12:27:47,https://loremflickr.com/800/800?lock=50438,Blues,Mario Reilly
194,People,Tue Dec 25 2018 22:57:12,https://loremflickr.com/800/800?lock=81094,Irish,Mandy Grimes
195,Hot Child In The City,Wed Jan 11 2017 20:21:52,https://loremflickr.com/800/800?lock=92454,American,Ramon Senger
196,Physical,Sat Jun 18 2016 05:52:57,https://loremflickr.com/800/800?lock=13362,Trap,Shari Stroman
197,Judy in Disguise (With Glasses),Wed Oct 31 2018 07:10:37,https://loremflickr.com/800/800?lock=96107,Creole,Bethany Bernier
198,Tears in Heaven,Fri Jun 22 2018 22:48:08,https://loremflickr.com/800/800?lock=40855,Indian,Lorene Kirlin
199,Locked Out Of Heaven,Wed Mar 24 2021 00:49:52,https://loremflickr.com/800/800?lock=85088,Breakbeat,Jerome Larkin
200,Till I Waltz Again With You,Thu Jun 16 2022 01:59:28,https://loremflickr.com/800/800?lock=64522,Doom,Mrs. Ernest Hand
201,Oh,Mon Sep 24 2018 19:07:27,https://loremflickr.com/800/800?lock=5593,Greek,Freda Prohaska
202,Funkytown,Sun Sep 20 2020 14:02:09,https://loremflickr.com/800/800?lock=65436,Progressive,Belinda Orn
203,We Will Rock You,Tue Apr 30 2013 02:21:33,https://loremflickr.com/800/800?lock=30104,Salsa,Candice O'Reilly
204,1999,Wed Jul 05 2017 23:31:43,https://loremflickr.com/800/800?lock=88535,Rap,Hazel Schinner
205,Rock the Casbah,Thu May 17 2018 12:51:13,https://loremflickr.com/800/800?lock=79572,Merengue,Wallace Marvin
206,Que sera sera (Whatever will be will be),Sun Jun 21 2020 03:24:25,https://loremflickr.com/800/800?lock=8723,Pop,Sonja Reilly
207,Ac-cent-tchu-ate the Positive,Fri Apr 03 2015 23:05:27,https://loremflickr.com/800/800?lock=37399,Progressive,Jaime Davis DVM
208,Hollaback Girl,Wed Jan 29 2020 19:40:44,https://loremflickr.com/800/800?lock=80214,Rock,Jason Williamson
209,Family Affair,Tue Sep 25 2018 04:31:01,https://loremflickr.com/800/800?lock=56812,Blues,Elsa Macejkovic
210,I Can't Get Started,Mon Oct 17 2022 10:22:12,https://loremflickr.com/800/800?lock=88809,Progressive,Shawn Kub
211,Grease,Tue Jun 05 2018 17:33:24,https://loremflickr.com/800/800?lock=54375,Cumbia,Greg Huel
212,Dreamlover,Thu May 28 2020 09:42:59,https://loremflickr.com/800/800?lock=4874,Tejano,Johnathan Waelchi
213,Wichita Lineman,Thu Jun 09 2016 20:25:51,https://loremflickr.com/800/800?lock=90550,Funk,Tabitha Mohr
214,So Much in Love,Fri Oct 14 2022 01:30:22,https://loremflickr.com/800/800?lock=49046,Gospel,Eugene Watsica
215,I Want You Back,Mon Feb 01 2021 12:58:27,https://loremflickr.com/800/800?lock=6417,Soul,Mr. Robert Romaguera
216,Volare,Mon Aug 13 2018 22:15:01,https://loremflickr.com/800/800?lock=37062,Dub,Dr. Ronald Ward
217,Candle in the Wind '97,Sat Sep 28 2013 10:27:06,https://loremflickr.com/800/800?lock=26690,Welsh,Betty Conn DVM
218,I'm Looking Over a Four Leaf Clover,Mon Mar 21 2016 20:38:06,https://loremflickr.com/800/800?lock=3778,Alternative,Ebony Watsica
219,I'll Make Love to You,Tue Dec 27 2022 04:57:07,https://loremflickr.com/800/800?lock=25587,Indie,Latoya Bednar
220,I Will Follow Him,Thu Oct 09 2014 00:57:21,https://loremflickr.com/800/800?lock=81197,Classical,Marta Rodriguez
